,0
0,TBR1
1,KIDINS220
2,POU2AF1
3,BATF3
4,IKZF1
5,XPR1
6,HOXB13
7,BHLHE40
8,EXT2
9,IRF4
10,PARD3
11,HNF1B
12,BRAF
13,MITF
14,CTDNEP1
15,PAX8
16,WDR89
17,CYB561A3
18,PAX3
19,TIMM17A
20,TRIM8
21,EBF1
22,AR
23,SBNO2
24,MYB
25,TRPS1
26,MYOG
27,HK1
28,GAB2
29,NOTCH1
30,SS18
31,MAPK1
32,KRAS
33,TCF7L2
34,ABL1
35,PAX5
36,SPDEF
37,NFE2L2
38,FERMT1
39,BCR
40,TP63
41,PTPN2
42,PRKAR1A
43,PPARG
44,CTNNB1
45,ZBTB18
46,ISL1
47,CDK8
48,PIM2
49,SUCLG1
50,MYOD1
51,SH3GL1
52,MECOM
53,PPM1G
54,UBE3A
55,MEF2B
56,ZER1
57,RASGRP3
58,FLI1
59,EDF1
60,ZMYM3
61,QKI
62,ADAR
63,SMARCD1
64,UXS1
65,TFAP2A
66,SOX10
67,FOXA1
68,UNC50
69,DUSP4
70,STAT3
71,DOCK5
72,EGFR
73,FGFR1
74,IRS1
