,0
0,CEP85
1,BCR
2,CTTN
3,SNAP23
4,UBA6
5,C2orf49
6,PHOX2B
7,MECOM
8,MYCN
9,RNF168
10,HAND2
11,HNF1B
12,LRFN1
13,ZER1
14,FANCM
15,ITGA3
16,KLF3
17,NKX2-1
18,NRAS
19,TUBB4B
20,VCL
21,CIT
22,RABIF
23,RGS9BP
24,RAB10
25,SOX4
26,FERMT2
27,SMARCE1
28,NUDT13
29,ADPGK
30,EXTL3
31,QRICH1
32,ITGB1
33,SPICE1
34,ACSL4
35,ATP2B1
36,KLF5
37,STAT3
38,SUB1
39,MANF
40,COPS7A
41,NFE2L2
42,CTNNB1
43,YIPF6
44,RBM10
45,MEOX2
46,SLC7A6
47,ZFPM1
48,UBE3A
49,ZEB2
50,DUSP4
51,OTX2
52,CDK8
53,RAP1A
54,LMO2
55,AKT1
56,SOS1
57,ABL1
58,NME2
59,ANKRD49
60,NOA1
61,CEBPA
62,NF2
63,PDE12
64,SKP2
65,FOXA2
66,MITF
67,TRPS1
68,LDHA
69,ZBTB18
70,SLC16A1
71,FIS1
72,STRIP1
73,PGGHG
74,E2F3
75,OTUD6B
76,CPOX
77,HK1
78,SH3GL1
79,FGFR1
80,NEUROD1
81,GFI1
82,NXT1
83,ENO1
84,SMAD7
85,WT1
86,DDB2
87,CDX2
88,USP15
89,ISL1
90,SPI1
91,ASCL1
92,ATP5MJ
93,ATP1B3
94,PARD6B
95,AMER3
96,PCGF3
97,AHCY
98,ZFX
99,INSM1
100,DCTN1
101,HS2ST1
102,JUN
103,HNF4G
104,EPAS1
105,PSEN1
106,POU2F3
107,SMARCD1
108,ZDHHC2
109,CDK2
110,PAX3
111,TBX3
112,TBR1
113,GRHL2
114,KRAS
115,TEAD3
116,SLC25A46
117,PAX8
118,NME6
119,DDX5
120,IRF8
121,CD79A
122,KIF2C
123,STAT5B
124,GTF2F1
125,CYB561A3
126,RIC8A
127,FLII
128,MAP4K4
129,WRN
130,RNF113A
131,SPDEF
132,ATXN3
133,XYLT2
134,CD19
135,TTF1
136,ANLN
137,ATL2
138,ARHGAP29
139,CHMP6
140,MRPL14
141,NFKB1
142,SOX11
143,GCLC
144,IKZF1
145,RASGRP3
146,TRAIP
147,RXRA
148,GGH
149,CDH2
150,AP2S1
151,RPS27L
152,ITGAV
153,GATA3
154,CCNI
155,NWD1
156,EXO1
157,ETV6
158,MGAT4A
159,TIMM17A
160,PHOX2A
161,TLX1
162,FHIP2B
163,CKAP2L
164,SUCLG1
165,POU2AF1
166,SOSTDC1
167,EDF1
168,DNAJC19
169,SELENOO
170,FERMT1
171,MORC1
172,PAX5
173,UNC50
174,SRRM2
175,CCNE1
176,KRBOX5
177,BHLHE40
178,FLI1
179,SCD
180,CEP120
181,IRF4
182,TMEM30A
183,ARHGEF7
184,PHC2
185,BCL11B
186,ZNF189
187,WDR89
188,DDX31
189,RAB20
190,LDB1
191,PIM2
192,ID1
193,BCL10
194,IRS1
195,ARPC4
196,IKZF2
197,SMARCAL1
198,SBNO2
199,HOXB13
200,VSTM2B
201,INO80B
202,FZD5
203,PTPN2
204,SLC5A6
205,LSM14B
206,USP37
207,CRTC3
208,CBFB
209,LMNA
210,SMARCA2
211,PIAS4
212,AR
213,MEF2B
214,TAL2
215,PRKCE
216,POU2AF2
217,EWSR1
218,TP63
219,GAB2
220,LTBR
221,HSP90B1
222,MYOG
223,MRPS33
224,SC5D
225,KIDINS220
226,KRTAP9-9
227,TMEM165
228,INPP5A
229,EGFR
230,SATB2
231,RUNX2
232,PPM1G
233,ESR1
234,SOX17
235,GLI4
236,FAM131A
237,ATP6V0E1
238,ATP5PB
239,TFAP2A
240,GAB1
241,SS18
242,PPP2R2A
243,IGF2BP1
244,B3GNT2
245,IRS2
246,DOCK5
247,EXT2
248,BRAF
249,LRRC37A3
250,FOXA1
251,SLC7A5
252,MMGT1
253,SP7
254,TRIM8
255,PPARG
256,MRPL32
257,BCCIP
258,ELMO2
259,PPP1R3A
260,PRKAR1A
261,FNIP1
262,EFCAB11
263,CA5A
264,XPR1
265,RPP25L
266,CYTH2
267,STAG1
268,TP53BP2
269,SOX10
270,ACOX1
271,PRMT2
272,MAPK1
273,QKI
274,TCF7L2
275,FAM50B
276,TRMT10A
277,ATP6V0A2
278,MYB
279,FUNDC1
280,MEF2C
281,KCNH1
282,TMEM276
283,TADA3
284,SP9
285,PREX1
286,BIRC6
287,MANBAL
288,FLVCR1
289,ZMYM3
290,CALR
291,CCND3
292,NEUROG1
293,COX6A1
294,VBP1
295,ADAR
296,PRDM1
297,CTDNEP1
298,VRK1
299,NUTM1
300,UXS1
301,MYOD1
302,EBF1
303,NOTCH1
304,RGPD4
305,ECHDC1
306,DAZL
307,CCNE2
308,PARD3
309,ATP2C1
310,SKA3
311,HYCC2
312,PPP1CC
313,TIAL1
314,ASGR1
315,MAP3K2
316,BATF3
