,Gene_symbol,Gene_name,Annotated_function
0,TBR1,T-box brain transcription factor 1,"This gene is a member of a conserved family of genes that share a common DNA-binding domain, the T-box. T-box genes encode transcription factors involved in the regulation of numerous developmental processes. In mouse, the ortholog of this gene is expressed in the cerebral cortex, hippocampus, amygdala and olfactory bulb and is thought to play an important role in neuronal migration and axonal projection. In mouse, the C-terminal region of this protein was found to be necessary and sufficient for association with the guanylate kinase domain of calcium/calmodulin-dependent serine protein kinase. [provided by RefSeq, Dec 2015]."
1,KIDINS220,kinase D interacting substrate 220,"This gene encodes a transmembrane protein that is preferentially expressed in the nervous system where it controls neuronal cell survival, differentiation into exons and dendrites, and synaptic plasticity. The encoded protein interacts with membrane receptors, cytosolic signaling components, and cytoskeletal proteins, serving as a scaffold that mediates crosstalk between the neurotrophin pathway and several other intracellular signaling pathways. Aberrant expression of this gene is associated with the onset of various neuropsychiatric disorders and neurodegenerative diseases, including Alzheimer's disease. Naturally occurring mutations in this gene are associated with a syndrome characterized by spastic paraplegia, intellectual disability, nystagmus and obesity. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2017]."
2,POU2AF1,POU class 2 homeobox associating factor 1,"Enables transcription coactivator activity. Involved in positive regulation of transcription by RNA polymerase II. Part of RNA polymerase II transcription regulator complex. [provided by Alliance of Genome Resources, Apr 2022]"
3,BATF3,basic leucine zipper ATF-like transcription factor 3,"This gene encodes a member of the basic leucine zipper protein family. The encoded protein functions as a transcriptional repressor when heterodimerizing with JUN. The protein may play a role in repression of interleukin-2 and matrix metalloproteinase-1 transcription.[provided by RefSeq, Feb 2009]."
4,IKZF1,IKAROS family zinc finger 1,"This gene encodes a transcription factor that belongs to the family of zinc-finger DNA-binding proteins associated with chromatin remodeling. The expression of this protein is restricted to the fetal and adult hemo-lymphopoietic system, and it functions as a regulator of lymphocyte differentiation. Several alternatively spliced transcript variants encoding different isoforms have been described for this gene. Most isoforms share a common C-terminal domain, which contains two zinc finger motifs that are required for hetero- or homo-dimerization, and for interactions with other proteins. The isoforms, however, differ in the number of N-terminal zinc finger motifs that bind DNA and in nuclear localization signal presence, resulting in members with and without DNA-binding properties. Only a few isoforms contain the requisite three or more N-terminal zinc motifs that confer high affinity binding to a specific core DNA sequence element in the promoters of target genes. The non-DNA-binding isoforms are largely found in the cytoplasm, and are thought to function as dominant-negative factors. Overexpression of some dominant-negative isoforms have been associated with B-cell malignancies, such as acute lymphoblastic leukemia (ALL). [provided by RefSeq, May 2014]."
5,XPR1,xenotropic and polytropic retrovirus receptor 1,"The protein encoded by this gene is a receptor for the xenotropic and polytropic classes of murine leukemia viruses. The encoded protein is involved in phosphate homeostasis by mediating phosphate export from the cell. Defects in this gene have been associated with idiopathic basal ganglia calcification-6. [provided by RefSeq, Jun 2016]."
6,HOXB13,homeobox B13,"This gene encodes a transcription factor that belongs to the homeobox gene family. Genes of this family are highly conserved among vertebrates and essential for vertebrate embryonic development. This gene has been implicated to play a role in fetal skin development and cutaneous regeneration. In mice, a similar gene was shown to exhibit temporal and spatial colinearity in the main body axis of the embryo, but was not expressed in the secondary axes, which suggests functions in body patterning along the axis. This gene and other HOXB genes form a gene cluster at chromosome the 17q21-22 region. [provided by RefSeq, Jul 2008]."
7,BHLHE40,basic helix-loop-helix family member e40,"This gene encodes a basic helix-loop-helix protein expressed in various tissues. The encoded protein can interact with ARNTL or compete for E-box binding sites in the promoter of PER1 and repress CLOCK/ARNTL's transactivation of PER1. This gene is believed to be involved in the control of circadian rhythm and cell differentiation. [provided by RefSeq, Feb 2014]."
8,EXT2,exostosin glycosyltransferase 2,"This gene encodes one of two glycosyltransferases involved in the chain elongation step of heparan sulfate biosynthesis. Mutations in this gene cause the type II form of multiple exostoses. Alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Jul 2008]."
9,IRF4,interferon regulatory factor 4,"The protein encoded by this gene belongs to the IRF (interferon regulatory factor) family of transcription factors, characterized by an unique tryptophan pentad repeat DNA-binding domain. The IRFs are important in the regulation of interferons in response to infection by virus, and in the regulation of interferon-inducible genes. This family member is lymphocyte specific and negatively regulates Toll-like-receptor (TLR) signaling that is central to the activation of innate and adaptive immune systems. A chromosomal translocation involving this gene and the IgH locus, t(6;14)(p25;q32), may be a cause of multiple myeloma. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Aug 2010]."
10,PARD3,par-3 family cell polarity regulator,"This gene encodes a member of the PARD protein family. PARD family members interact with other PARD family members and other proteins; they affect asymmetrical cell division and direct polarized cell growth. Multiple alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Oct 2011]."
11,HNF1B,HNF1 homeobox B,"This gene encodes a member of the homeodomain-containing superfamily of transcription factors. The protein binds to DNA as either a homodimer, or a heterodimer with the related protein hepatocyte nuclear factor 1-alpha. The gene has been shown to function in nephron development, and regulates development of the embryonic pancreas. Mutations in this gene result in renal cysts and diabetes syndrome and noninsulin-dependent diabetes mellitus, and expression of this gene is altered in some types of cancer. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Sep 2009]."
12,BRAF,"B-Raf proto-oncogene, serine/threonine kinase","This gene encodes a protein belonging to the RAF family of serine/threonine protein kinases. This protein plays a role in regulating the MAP kinase/ERK signaling pathway, which affects cell division, differentiation, and secretion. Mutations in this gene, most commonly the V600E mutation, are the most frequently identified cancer-causing mutations in melanoma, and have been identified in various other cancers as well, including non-Hodgkin lymphoma, colorectal cancer, thyroid carcinoma, non-small cell lung carcinoma, hairy cell leukemia and adenocarcinoma of lung. Mutations in this gene are also associated with cardiofaciocutaneous, Noonan, and Costello syndromes, which exhibit overlapping phenotypes. A pseudogene of this gene has been identified on the X chromosome. [provided by RefSeq, Aug 2017]."
13,MITF,melanocyte inducing transcription factor,"The protein encoded by this gene is a transcription factor that contains both basic helix-loop-helix and leucine zipper structural features. The encoded protein regulates melanocyte development and is responsible for pigment cell-specific transcription of the melanogenesis enzyme genes. Heterozygous mutations in the this gene cause auditory-pigmentary syndromes, such as Waardenburg syndrome type 2 and Tietz syndrome. [provided by RefSeq, Aug 2017]."
14,CTDNEP1,CTD nuclear envelope phosphatase 1,"Enables protein serine/threonine phosphatase activity. Involved in several processes, including positive regulation of triglyceride biosynthetic process; protein dephosphorylation; and protein localization to nucleus. Located in endoplasmic reticulum membrane; lipid droplet; and nuclear membrane. Part of Nem1-Spo7 phosphatase complex. [provided by Alliance of Genome Resources, Apr 2022]"
15,PAX8,paired box 8,"This gene encodes a member of the paired box (PAX) family of transcription factors. Members of this gene family typically encode proteins that contain a paired box domain, an octapeptide, and a paired-type homeodomain. This nuclear protein is involved in thyroid follicular cell development and expression of thyroid-specific genes. Mutations in this gene have been associated with thyroid dysgenesis, thyroid follicular carcinomas and atypical follicular thyroid adenomas. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Mar 2010]."
16,WDR89,WD repeat domain 89,
17,CYB561A3,cytochrome b561 family member A3,"Predicted to enable transmembrane ascorbate ferrireductase activity. Predicted to be involved in cellular iron ion homeostasis. Located in nucleolus. [provided by Alliance of Genome Resources, Apr 2022]"
18,PAX3,paired box 3,"This gene is a member of the paired box (PAX) family of transcription factors. Members of the PAX family typically contain a paired box domain and a paired-type homeodomain. These genes play critical roles during fetal development. Mutations in paired box gene 3 are associated with Waardenburg syndrome, craniofacial-deafness-hand syndrome, and alveolar rhabdomyosarcoma. The translocation t(2;13)(q35;q14), which represents a fusion between PAX3 and the forkhead gene, is a frequent finding in alveolar rhabdomyosarcoma. Alternative splicing results in transcripts encoding isoforms with different C-termini. [provided by RefSeq, Jul 2008]."
19,TIMM17A,translocase of inner mitochondrial membrane 17A,"Predicted to contribute to protein transmembrane transporter activity. Predicted to be involved in protein import into mitochondrial matrix. Located in mitochondrial inner membrane and nucleoplasm. Is integral component of mitochondrial inner membrane. Part of TIM23 mitochondrial import inner membrane translocase complex. [provided by Alliance of Genome Resources, Apr 2022]"
20,TRIM8,tripartite motif containing 8,"This gene encodes a member of the tripartite motif (TRIM) protein family. Based on similarities to other proteins, the encoded protein is suspected to be an E3 ubiquitin-protein ligase. Regulation of this gene may be altered in some cancers. Mutations resulting in a truncated protein product have been observed in early-onset epileptic encephalopathy (EOEE). [provided by RefSeq, Sep 2016]."
21,EBF1,EBF transcription factor 1,"Predicted to enable DNA-binding transcription activator activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in positive regulation of transcription by RNA polymerase II. Predicted to act upstream of or within positive regulation of transcription, DNA-templated. Predicted to be located in nucleus. Predicted to be part of chromatin. [provided by Alliance of Genome Resources, Apr 2022]"
22,AR,androgen receptor,"The androgen receptor gene is more than 90 kb long and codes for a protein that has 3 major functional domains: the N-terminal domain, DNA-binding domain, and androgen-binding domain. The protein functions as a steroid-hormone activated transcription factor. Upon binding the hormone ligand, the receptor dissociates from accessory proteins, translocates into the nucleus, dimerizes, and then stimulates transcription of androgen responsive genes. This gene contains 2 polymorphic trinucleotide repeat segments that encode polyglutamine and polyglycine tracts in the N-terminal transactivation domain of its protein. Expansion of the polyglutamine tract from the normal 9-34 repeats to the pathogenic 38-62 repeats causes spinal bulbar muscular atrophy (SBMA, also known as Kennedy's disease). Mutations in this gene are also associated with complete androgen insensitivity (CAIS). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2017]."
23,SBNO2,strawberry notch homolog 2,"Predicted to enable chromatin DNA binding activity and histone binding activity. Involved in several processes, including cellular response to interleukin-6; macrophage activation involved in immune response; and negative regulation of transcription, DNA-templated. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
